,date,sen,요일,라벨
106,2019.01.08,"""2년 내 전례 없는 침체 온다""…서머스 '섣부른 긴축' 경고",화,1
111,2019.01.08,"법정 선 곤 前닛산 회장 ""난 결백…닛산 부활에 인생 바쳤다""",화,1
110,2019.01.08,"中 자본 美 기업 M&amp;A, 2년 새 95% 줄었다",화,1
109,2019.01.08,"미국, 지하철 차량 입찰에 중국 참여 제한…""사이버 공격 우려""",화,1
108,2019.01.08,"김용 총재, 임기 3년 남겨두고 돌연 사임…트럼프의 '세계은행 때리기'에 지쳤나",화,1
107,2019.01.08,"소프트뱅크, 위워크 인수 접었다",화,1
105,2019.01.08,"[글로벌 톡톡] 기욤 페피, 프랑스국영철도 사장",화,1
98,2019.01.08,"중국 매체 ""김정은 방중, 새해 한반도 정세의 좋은 시작""",화,1
103,2019.01.08,"""NYSE 수수료 너무 비싸""…월가, 새 증권거래소 추진",화,1
102,2019.01.08,영국 '노 딜 브렉시트' 예행 연습,화,1
101,2019.01.08,"中학자 ""北김정은 10개월 새 4차례 방중…우호관계 증명""",화,1
100,2019.01.08,"미중, 김정은 방중 속 이틀째 무역협상…합의도출 주목",화,1
99,2019.01.08,"로이터 ""일본 남동부에서 규모 6.4 지진""",화,1
104,2019.01.08,"곤 前 닛산 회장, 日 법정 출두…""난 결백"" 항변",화,1
120,2019.01.09,"美기업 ""IT 인력 직접 키운다""",수,0
125,2019.01.09,"생일에 중국 간 김정은, 북경반점 파격 오찬·제약사 방문 눈길",수,0
124,2019.01.09,"미중, 무역전쟁 파국은 일단 피해…美측 ""협상 잘 돼""",수,0
123,2019.01.09,"김도현 대사 ""북미 정상회담 베트남서 열린다면 의미 있는 일""",수,0
122,2019.01.09,"김정은, 귀국 전 '中경제 배우기'…베이징 제약사 동인당 전격 방문",수,0
121,2019.01.09,"팀 쿡, 1200만弗 보너스…애플 위기에도 22% 늘어",수,0
119,2019.01.09,"日, 공무원 정년 65세로 연장",수,0
112,2019.01.09,"美언론 ""오류투성이 트럼프 '장벽연설'…팩트 틀리고 통계 과장""",수,0
117,2019.01.09,암 사망자 감소…'금연'이 1등 공신,수,0
116,2019.01.09,"[글로벌 톡톡] 톰 엔더스, 에어버스 CEO",수,0
115,2019.01.09,트럼프 '장벽 예산 담화' 듣는 난민들,수,0
114,2019.01.09,"美·中, 치열한 '물밑 신경전'",수,0
113,2019.01.09,"北中, 김정은-시진핑 회동 결과에 '침묵'",수,0
118,2019.01.09,김용 총재 새 직장…사모펀드에 내달 합류,수,0
139,2019.01.10,"'중국 역할' 방점 찍은 시진핑, 평양 방문 언제할까",목,1
138,2019.01.10,"中매체, 김정은 4차 방중에 '한반도 비핵화에 중국 역할론' 강조",목,1
137,2019.01.10,"""고통+반성=발전"" 180兆 굴리는 '헤지펀드의 제왕'…""성공하고 싶다면 실패도 기록해라""",목,1
136,2019.01.10,[column of the week] 정치인이 말하지 않는 무상복지의 '숨은 비용',목,1
135,2019.01.10,"시진핑 ""한반도 비핵화 위해 건설적 역할 하겠다""",목,1
134,2019.01.10,'맨해튼 명물' 77층 크라이슬러빌딩 판다,목,1
133,2019.01.10,"서머스 ""中, 20년 만에 최대 난관 직면""",목,1
131,2019.01.10,"분위기 확 달라진 美 Fed…매파들도 ""금리인상 자제""",목,1
130,2019.01.10,"[글로벌 톡톡] 크리스 바빈, 애피리오 CEO",목,1
129,2019.01.10,최고 부호 베이조스 이혼…재산 절반 떼주나,목,1
128,2019.01.10,"英 제1야당 대표 ""브렉시트 합의안 부결시 조기총선""",목,1
127,2019.01.10,"민주콩고, 독립 59년만에 선거로 첫 정권교체…부정선거 의혹",목,1
126,2019.01.10,"러시아 외무부, 일본 대사 초치…아베 쿠릴 발언에 항의",목,1
132,2019.01.10,"다급한 트럼프, 의회 달려갔지만…",목,1
176,2019.01.13,"美, '인도적 지원' 대북제재 완화…국제단체에 전달",일,0
181,2019.01.13,"아베 '징용 여론전' 먹혔나…日국민 80.9% ""강경대응 지지""",일,0
180,2019.01.13,"트럼프 ""국가비상사태 일단은 보류""…셧다운 '23일째' 신기록",일,0
179,2019.01.13,"대혼란 종지부냐, 노딜 파국이냐…英 '브렉시트 드라마' 결말 낸다",일,0
178,2019.01.13,브렉시트 정국서 '캐스팅 보트' 쥔 보수당 내 초당파 의원들,일,0
177,2019.01.13,"'미국 자동차 상징' 캐딜락, 전기차 브랜드 된다",일,0
175,2019.01.13,세계은행 차기 총재가 이방카?,일,0
170,2019.01.13,"파리 중심가 빵집 폭발사고 ""강력한 굉음…전쟁터 같았다""",일,0
173,2019.01.13,"美 셧다운 여파에 경제지표도 발표 못해…월가 ""뭘 보고 투자하나""",일,0
172,2019.01.13,트럼프 최후의 카드 '비상사태 선언'…미국인 67%가 반대,일,0
171,2019.01.13,"[글로벌 톡톡] 레이미 스타타, 알티스케일 창업자",일,0
169,2019.01.13,"日방위상 ""한국 정부에 '레이더 조사' 관련 유감 재차 전할 것""",일,0
168,2019.01.13,"사우디 석유장관 ""유가 변동성 60∼86달러로 좁혀야""",일,0
174,2019.01.13,"골드만삭스 ""차이나 쇼크 다음 희생양은 스타벅스""",일,0
190,2019.01.14,"日, 내외국인에 1만원씩 걷은 '출국세'로 왕실자료관 확장공사",월,1
195,2019.01.14,일본 고령화 현황과 시사점 … 일본전문가 최고위과정 강의,월,1
194,2019.01.14,"화웨이 간부 체포 논란 확산, 중국 매체 ""폴란드가 미국 앞잡이""",월,1
193,2019.01.14,"중국, 적격외국기관투자자 투자 한도 2배로 확대…""증시 부양책""",월,1
192,2019.01.14,"親트럼프 그레이엄 ""셧다운 해제, 3주 협상 후 비상사태 선포"" 제안",월,1
191,2019.01.14,"러 남부서 또 아파트 폭발·붕괴 사고…""1명 사망, 6명 실종""",월,1
189,2019.01.14,"중국, 지난달 수출입 동반 급감…내수침체에 무역전쟁 겹쳐",월,1
184,2019.01.14,"英, 15일 브렉시트 표결…EU는 이혼 늦출 준비",월,1
187,2019.01.14,中 '관세 쇼크'…지난달 수출 4.4% 감소,월,1
188,2019.01.14,"[글로벌 톡톡] 제이 펄처, 제네피츠 CEO",월,1
183,2019.01.14,"35세 베네수엘라 국회의장 ""15일부터 내가 대통령""",월,1
182,2019.01.14,"메이, 브렉시트 합의안 가결 촉구…EU ""'안전장치' 피할 것""",월,1
185,2019.01.14,'미국인의 첫 차' 소형세단 사라진다,월,1
186,2019.01.14,美 '실적 쇼크'…뚝 떨어진 기업 이익증가율,월,1
209,2019.01.15,"미중 군수뇌부, 베이징서 회동…'소통' 강조",화,1
208,2019.01.15,"中 주부들 ""이번 춘제엔 고기 못 먹겠어요"" 한숨",화,1
207,2019.01.15,"중국, 캐나다 마약범 사형선고에 ""진정한 법치""",화,1
206,2019.01.15,"日 ""레이더 조사, 한국측에 재발방지 강하게 요구했다""(종합)",화,1
204,2019.01.15,독일 공항 파업…항공기 수백 편 결항,화,1
202,2019.01.15,"美 연방정부 셧다운에…USTR, 인력 70% 일손 놔",화,1
205,2019.01.15,"출구 못찾는 트럼프, 지지율도 다운",화,1
200,2019.01.15,"성윤모 산업부 장관, UAE서 '원전 세일즈'",화,1
199,2019.01.15,"[글로벌 톡톡] 피터 더빌리어스, 클리커텔 CEO",화,1
198,2019.01.15,"침묵 깬 화웨이 창업자 ""中정부 비밀정보 요청시 거절할 것""",화,1
197,2019.01.15,무역전쟁 탓에…獨 작년 성장률 5년 만에 최저,화,1
196,2019.01.15,"침묵 깬 화웨이 창업자 ""中정부 정보요청 거부할 것""",화,1
201,2019.01.15,中 자본 美 투자…지난해 83% 끊겨,화,1
203,2019.01.15,유로존 침체 신호 뚜렷…산업생산 1.7% 감소,화,1
223,2019.01.16,"英, 커지는 '노딜 브렉시트' 위협…""제2 유럽 재정위기 올 수도""",수,1
217,2019.01.16,"집안 문제 시끄러운 유럽 정상들, 올해는 다보스 '패스'",수,1
222,2019.01.16,"'우주 굴기' 과시한 中…""미국, 달 탐사에서 중국에 도움 요청""",수,1
221,2019.01.16,英 메이 총리의 굴욕…여야 의원 '안전장치·협상실패' 불만,수,1
220,2019.01.16,"EU 수석대표 ""'노딜 브렉시트' 위험 어느 때보다 커졌다""",수,1
219,2019.01.16,"佛 유럽담당 장관 ""영국이 요청하면 EU 탈퇴시한 연기 가능""",수,1
218,2019.01.16,"중국 신규주택 가격 상승률, 8개월 만에 최저…""경기둔화 탓""",수,1
216,2019.01.16,"이탈리아 ""브렉시트 부정적 영향 최소화 위해 노력 중""",수,1
214,2019.01.16,"브렉시트 주도했던 패라지 ""제2국민투표시 탈퇴 찬성 더 늘 것""",수,1
213,2019.01.16,"러시아 외무 ""브렉시트 후 영국, EU 모두와 협력할 것""",수,1
212,2019.01.16,"日방위성, 레이더 갈등 협의 韓발표에 항의…""사실과 달라"" 주장",수,1
211,2019.01.16,"메르켈 ""브렉시트, 여전히 협상할 시간 있어""",수,1
210,2019.01.16,"EU ""英, 브렉시트 연기 요청하면 EU 27개국이 결정""",수,1
215,2019.01.16,英 정부 불신임안 부결 전망 속 브렉시트 재투표 가능성↑,수,1
237,2019.01.17,美中 30∼31일 미국서 고위급 무역협상…中류허 방미,목,1
236,2019.01.17,"'천신만고' 英총리 ""브렉시트는 내 임무…건설적으로 협력해야""",목,1
235,2019.01.17,"""햄버거 일주일에 1개, 달걀은 4개 이하""…새 건강식단 공개",목,1
234,2019.01.17,[column of the week] Fed가 시장에 주의를 기울여야 하는 이유,목,1
233,2019.01.17,"일본 가고시마 인근 화산 폭발…항공사 ""화산 영향 전혀 없어""",목,1
232,2019.01.17,"10년새 직원 4배 불어난 애플, 채용 줄인다",목,1
231,2019.01.17,미국도 '최저임금 대소동',목,1
230,2019.01.17,"백악관 ""셧다운으로 美 1분기 성장률 0%대 가능성""",목,1
229,2019.01.17,"[글로벌 톡톡] 스티븐 카우퍼, 트립어드바이저 창업자",목,1
228,2019.01.17,"北김영철, 美항공사 이용하다 보안검색 놓고 '신경전'",목,1
227,2019.01.17,브렉시트 제2투표 여론조사서 'EU 잔류'가 12% 차로 앞서,목,1
226,2019.01.17,'진짜 하나? 취소?'…브렉시트 둘러싼 궁금증 일문일답,목,1
225,2019.01.17,"'북·미 중재자' 자임해온 스웨덴, 2차 북미정상회담서도 역할?",목,1
224,2019.01.17,"美실업수당, 셧다운에도 3000건↓…연방공무원 1만여건 신청",목,1
279,2019.01.20,세계 곳곳 선거판에 '포퓰리즘 광풍'…글로벌 경제 리스크로 부상,일,1
278,2019.01.20,"테슬라, 감원 와중에 자금난 직면",일,1
277,2019.01.20,"도요타·파나소닉, 배터리 생산 동맹…日 '전기車 패권' 시동",일,1
276,2019.01.20,셧다운에 갇힌 트럼프 '취임 2년',일,1
275,2019.01.20,'헤이세이의 마지막…' 새 시대에 들뜬 日 시민들,일,1
274,2019.01.20,시리아 IS에 희생당한 미군 유해 도착…거수 경례로 맞는 트럼프,일,1
273,2019.01.20,"""中, 미국산 1조달러 구매…對美흑자 제로로 낮춘다""",일,1
272,2019.01.20,"도쿄빅사이트, 2020년까지 기업 부스 'sold out'",일,1
270,2019.01.20,근로자 3명 몫 담당하는 '두팔 로봇'…日 제조업의 신무기,일,1
269,2019.01.20,100엔이면 자율주행버스 탑승…도쿄올림픽 마스코트로,일,1
268,2019.01.20,"60代 일본경제, 40代 활력으로 뛴다…한경 데스크·기자 현지 특별취재",일,1
267,2019.01.20,南중재로 北美 이견 좁히나…스웨덴 남북미 3자회동 주목,일,1
266,2019.01.20,"워싱턴 방문 마친 北김영철, 귀국 경유지 베이징 도착",일,1
271,2019.01.20,"[글로벌 톡톡] 토드 매키넌, 옥타 CEO",일,1
288,2019.01.21,"""美 맨해튼 빌딩 임대면적은 매년 저절로 늘어난다""",월,0
293,2019.01.21,전당포 찾고 우버기사하고…급여 못받은 美 공무원들 '고군분투',월,0
292,2019.01.21,브렉시트 '플랜B'도 가시밭길,월,0
291,2019.01.21,"[글로벌 톡톡] 스케노 겐지, 후지필름홀딩스 사장",월,0
289,2019.01.21,"中 정부·국책硏 ""경제 위기론은 과장…리스크 관리 가능"" 반박",월,0
287,2019.01.21,30㎝ 간격 사람 따라다니는 '로봇 카트'…도서관·공장·물류창고에 300여대 판매,월,0
290,2019.01.21,작년 성장률 6.6%라지만 美·英선 4~5%대로 추정…또 불거진 中 통계 조작 의혹,월,0
285,2019.01.21,포켓몬 닮아가는 日 기업…'구조조정 전투' 거치며 새 몬스터로 환골탈태,월,0
284,2019.01.21,"가전 무너진 히타치, 철도 시스템 수출…파나소닉, 車 전장기업 변신",월,0
283,2019.01.21,취업문 넓어도 창업…'모험' 꺼리던 日청년 달라졌다,월,0
286,2019.01.21,"도요타, 글로벌 수소車시장 패권 장악 나섰다",월,0
282,2019.01.21,페이스북 통해서도 국민청원 할 수 있다? 페이스북 '정치청원' 기능 생긴다,월,0
281,2019.01.21,메이 '브렉시트 대안' 곧 제시…보수당·연정파트너 설득에 초점,월,0
280,2019.01.21,"'재팬패싱' 겁내는 日, 북미협상 스웨덴서 北최선희 접촉 '총력'",월,0
307,2019.01.22,"""당관리 위해 꺼낸 브렉시트 국민투표안이 엄청난 결과 초래""",화,1
306,2019.01.22,"'세계 3대 명품 시계' 파텍필립, M&amp;A 매물로 나오나",화,1
305,2019.01.22,"이럴거면 왜…셧다운 경제피해, 트럼프 요구 장벽비용 넘을수도",화,1
304,2019.01.22,'파업 구호' 실종…물리적 노동쟁의 9년째 100건 이하,화,1
303,2019.01.22,"""글로벌 금융위기 다시 닥쳐도 채용시장 끄떡없다…젊은 취업자가 甲""",화,1
302,2019.01.22,"모토바야시 ""3% 인상이 더디다? 기업이 최저임금 감당 못하면 결국 근로자 피해""",화,1
301,2019.01.22,日기업 '버는 힘' 커지자 일자리 넘쳐…모든 업종이 특수,화,1
300,2019.01.22,"마크롱, 글로벌 CEO 150명 초대…노란조끼 시위에도 '프랑스 세일즈'",화,1
299,2019.01.22,[글로벌 톡톡] 모리 마사히코 DMG모리정밀기계 사장,화,1
298,2019.01.22,도요타 vs 신닛테쓰스미킨…특수강 가격인상 놓고 '충돌',화,1
297,2019.01.22,"메이, 브렉시트 '플랜B' 공개했지만…",화,1
296,2019.01.22,"中 '28년 만의 최저 성장률' 발표한 날…시진핑 ""중대 위험 직면""",화,1
295,2019.01.22,"""일하는 방식 개혁해 생산성 높이자""…日 정부 '노동시장 禁忌' 깼다",화,1
294,2019.01.22,"""지금이 트럼프를 잡을 때"" 셧다운 정국에 美 민주당 '잠룡' 각축장",화,1
320,2019.01.23,"""北, 과거·미래 핵 포기해도 현재 핵은 붙들려 할 것""",수,1
319,2019.01.23,"""스톡홀름 협상 더 진전 있었다…비핵화 낙관""",수,1
318,2019.01.23,軍 반란·국회의장 反정부 투쟁…혼돈의 베네수엘라,수,1
317,2019.01.23,길어지는 셧다운…무료 급식소에 몰린 美 공무원들,수,1
316,2019.01.23,삐걱대는 무역협상…美 정부 거부로 비공개 접촉 무산說,수,1
315,2019.01.23,"초고령사회 日의 야심찬 선언…""간병인 860만명 로봇으로 대체""",수,1
321,2019.01.23,"다바타 히로시 ""비자발급 완화·免稅 확대…내년 방문객 4000만명 유치""",수,1
313,2019.01.23,[글로벌 톡톡] 마틸드 콜린 프런트 CEO,수,1
312,2019.01.23,"트럼프, 백악관 대변인 브리핑 중단 지시…“언론이 무례하고 부정확”",수,1
311,2019.01.23,日초계기 이번엔 초저고도 위협…韓사격레이더가동 유도하려했나,수,1
310,2019.01.23,"日정부 ""'초계기 근접비행' 사실 아냐…한국이 사실관계 바꿔""",수,1
309,2019.01.23,"브렉시트 시계 '재깍재깍'…""EU 탈퇴시점 연기"" 주장 확산",수,1
308,2019.01.23,'또 위협 비행' 아베의 노림수는?…개헌 이슈화·지지율 올리기,수,1
314,2019.01.23,"국제 무대 데뷔한 보우소나루 대통령 ""브라질 親기업 국가로 개혁하겠다""",수,1
334,2019.01.24,[글로벌 톡톡] 데빈 위니그 이베이 CEO,목,1
333,2019.01.24,애플 이어 포드도 '차이나 쇼크'…작년 4분기 적자전환,목,1
332,2019.01.24,"'자율비행 택시' 시대 오나…보잉, 첫 시험비행 성공",목,1
331,2019.01.24,"왕치산 ""中 지속적인 성장 가능…내정 간섭 안돼""",목,1
330,2019.01.24,日 총리실 홈피 보면 정책 연속성 한눈에,목,1
329,2019.01.24,'기업하기 좋은 나라'…네덜란드가 웃는다,목,1
335,2019.01.24,"미 상원의원 ""트럼프의 코언 비난은 명백한 범죄행위""",목,1
327,2019.01.24,'글로벌 좌우 대결'로 번진 혼돈의 베네수엘라,목,1
326,2019.01.24,젊고 활기찬 국가로 달려가는 日…韓도 미래 위해 뛰어야,목,1
325,2019.01.24,日 수도권 규제 완화…스카이라인을 바꾸다,목,1
324,2019.01.24,"30조엔 창출 산업에 '암반규제' 안된다…日 ""일단 해보라""",목,1
323,2019.01.24,"日방위상 ""위협가할 이유없어""…자위대수장 ""韓, 냉정 대응해야""",목,1
322,2019.01.24,"유엔 사무총장, 다보스서 베네수엘라 사태 대화 해결 촉구",목,1
328,2019.01.24,아베 '롱런' 비결은 경제…의원들도 '벤쿄카이'로 열공,목,1
377,2019.01.27,"캐나다, 駐中대사 경질…""멍 체포 잘못"" 실언",일,0
376,2019.01.27,"中 ""증시 살려라"" 증권당국 수장 교체",일,0
375,2019.01.27,말레이시아 '中 일대일로 철도' 결국 포기,일,0
374,2019.01.27,"이번주 고위급 '무역 담판'…中, 인민은행장 전격 투입",일,0
373,2019.01.27,브라질 댐 3곳 붕괴 참사…수백명 실종,일,0
372,2019.01.27,"[글로벌 톡톡] 푸닛 렌젠, 딜로이트 글로벌 CEO",일,0
371,2019.01.27,"美 연방정부 3주 시한부 재가동…SNS ""펠로시가 대통령 같다""",일,0
370,2019.01.27,마두로 편에 선 러시아…과이도 손 들어준 미국,일,0
369,2019.01.27,"'한 나라 두 대통령' 베네수엘라 혼돈…""20년 퍼준 '차베스 복지'의 결과""",일,0
368,2019.01.27,美 '셧다운' 3주간 일시 중단,일,0
367,2019.01.27,'2월말 北美회담' 한달앞두고 셧다운 해제…실무협상 탄력받나,일,0
366,2019.01.27,北예술단 이틀째 베이징 공연…中고위급 참석한듯,일,0
365,2019.01.27,"러 모스크바, 기록적 폭설…""항공 운항 지연·취소 잇따라""",일,0
364,2019.01.27,"마두로, '8일 내 대선 계획 발표하라' 유럽국 요구 거부",일,0
390,2019.01.28,"미국인 51% ""트럼프, 경제는 잘한다""",월,1
389,2019.01.28,"[글로벌 톡톡] 빌 토머스, KPMG 글로벌 회장",월,1
388,2019.01.28,"독일, 脫원전 이어 '脫석탄' 선언…2038년까지 모든 화력발전 중단",월,1
387,2019.01.28,"마두로 '재선거 최후통첩' 묵살…백악관 ""군사행동 배제 않겠다""",월,1
386,2019.01.28,유럽 유통기업도 아마존 앞에 '추풍낙엽',월,1
385,2019.01.28,"北·中 밀월…시진핑, 북한 예술단 공연 관람",월,1
391,2019.01.28,"'브렉시트' 난맥상…""英국민 65%, 잘못된 길 가고 있어""",월,1
383,2019.01.28,北日정상회담 '화두' 꺼낸 아베…한반도 협상에 변수될까,월,1
382,2019.01.28,그릇된 역사인식 드러낸 아베…침략전쟁을 '곤란'이라며 물타기,월,1
381,2019.01.28,"""미·탈레반 평화협정 원칙에 합의""…남은 난제도 수두룩",월,1
380,2019.01.28,美와 무역협상 앞둔 중국…S&amp;P에 자국시장 진출 허가,월,1
379,2019.01.28,시진핑 참석 北예술단 공연서 눈길 사로잡은 현송월,월,1
378,2019.01.28,"러 외무부 ""김정은 위원장 방러 여전히 현안, 일정은 안잡혀""",월,1
384,2019.01.28,"""미국인 52%, 北核 우려""…이란핵보다 심각",월,1
404,2019.01.29,"[글로벌 톡톡] 리치 레서, 보스턴컨설팅그룹 회장",화,1
403,2019.01.29,"美, 마두로 축출 작전 돌입…베네수엘라 '생명선' 석유 수출 제재",화,1
402,2019.01.29,英 의회 '브렉시트 14가지 대안' 격론,화,1
401,2019.01.29,류허 워싱턴 도착한 날…美 '기술 도둑질' 화웨이 기소,화,1
400,2019.01.29,"EU, 마리오 드라기 ""유로존 상황 심각…모든 수단 준비""",화,1
399,2019.01.29,"일본, 아베노믹스로 '戰後 최장기 호황'",화,1
405,2019.01.29,테슬라서 발 빼는 사우디…보유지분 전량 헷지 처리,화,1
397,2019.01.29,美·中 고위 무역협상 30일 시작…'국유기업 지원'이 핵심 쟁점,화,1
396,2019.01.29,"""美, 캐나다에 화웨이 CFO 신병인도 공식 요청""",화,1
395,2019.01.29,"日방위상 ""한국과 냉각기 필요…상황 정리되면 고위급 접촉"" 밝혀",화,1
394,2019.01.29,볼턴 메모장에 “병력 5000명 콜롬비아로”,화,1
393,2019.01.29,"""아베, 러서 쿠릴열도 반환돼도 미군배치는 日 동의있어야 가능""",화,1
392,2019.01.29,"美재무 ""미중협상 중대 진전 기대…화웨이 기소는 별개 문제""",화,1
398,2019.01.29,"미국, 성장률 3→2→1%대로 '뚝 뚝'…""美 경제 내리막길 들어섰다""",화,1
419,2019.01.30,'실력대결'로 치닫는 베네수엘라 사태…美 군사옵션 연일 만지작,수,0
418,2019.01.30,"日언론 ""닛산 사장, 르노 신임회장과 네덜란드서 첫 협의""",수,0
417,2019.01.30,대만 동부 화롄 앞바다에 5.3 지진…타이베이 건물도 흔들,수,0
